Name,Nvel,Type,Dist,f_Dist,i,L3_6,Reff,SBeff,Rdisk,SBdisk,MHI,RHI,Vflat,Qual,Ref,L16a,L16b,S4G,EDD,SimbadName,NEDname,_RA,_DE
"F574-1",14,7,96.8,1,65.0,6.537,5.87,29.98,4.46,128.48,3.524,16.19,97.8,1,"dB01,dB96",1,1,0,0,"LSB F574-1","LSB F574-1",189.55542,22.29972
"F574-2",5,9,89.1,1,30.0,2.877,6.48,10.89,3.76,41.38,1.701,12.61,0.0,3,"dB97,dB96",0,0,0,0,"LSB F574-2","LSB F574-2",191.69708,21.80333
"F579-V1",14,5,89.5,1,26.0,11.848,5.76,56.6,3.37,201.76,2.245,20.96,112.1,1,"dB01,dB96",0,0,0,0,"VLSB F579-V01","VLSB F579-V01",218.20042,22.76611
"F583-1",25,9,35.4,1,63.0,0.986,3.74,11.19,2.36,60.93,2.126,15.65,85.8,1,"KN08,dB96",1,1,0,0,"LSB F583-1","LSB F583-1",239.36451,20.66642
"F583-4",12,5,53.3,1,55.0,1.715,3.31,24.94,1.93,83.34,0.641,7.8,0.0,1,"KN08,dB96",0,1,0,0,"LSB F583-4","LSB F583-4",238.05,18.785
"IC2574",34,9,3.91,2,75.0,1.016,3.18,15.88,2.78,80.32,1.036,10.81,66.4,2,"Sa96,MC94",1,1,1,1,"IC2574","IC2574",157.09784,68.41214
"IC4202",32,4,100.4,1,90.0,179.749,8.55,391.59,4.78,8888.53,12.326,32.13,242.6,1,"SG06",1,0,0,0,"IC4202","IC4202",197.13159,24.70083
"KK98-251",15,10,6.8,1,59.0,0.085,1.28,7.89,1.34,52.1,0.115,2.9,33.7,2,"BC04",1,1,0,0,"[KK98a] 251","[KK98a] 251",307.63708,60.35472
"NGC0024",29,5,7.3,2,64.0,3.889,2.01,151.65,1.34,1182.58,0.676,7.29,106.3,1,"Di08,Ch06",1,1,1,0,"NGC0024","NGC0024",2.48559,-24.96313
"NGC0055",21,9,2.11,2,77.0,4.628,3.67,54.55,6.11,391.59,1.565,10.24,85.6,2,"Sa96,Pu91",1,1,1,0,"NGC0055","NGC0055",3.72334,-39.19663
"NGC0100",21,6,13.5,1,89.0,3.232,2.81,64.99,1.66,1193.52,1.99,16.36,88.1,1,"dB02,Rh96",0,0,1,0,"NGC0100","NGC0100",6.01182,16.48639
"NGC0247",26,7,3.7,2,74.0,7.332,5.87,33.79,3.74,506.79,1.746,12.79,104.9,2,"Sa96,Ca90",1,1,1,0,"NGC0247","NGC0247",11.78564,-20.7604
"NGC0289",28,4,20.8,1,46.0,72.065,2.69,1587.93,6.74,69.96,27.469,49.51,163.0,2,"Wa97",1,1,1,0,"NGC0289","NGC0289",13.17652,-31.20583
