PlateIFU,MaNGAID,M*[Msun],Reff[kpc],fDM(Reff)
8260-6102,1-281886,159859720753.75623,5.756,0.299
10226-9102,1-36420,187765552716.6911,8.225,0.005
12512-9102,1-92,53137759638.0431,3.568,0.169
12069-3704,1-106251,289011217821.34204,6.192,0.028
10505-3701,1-300705,129000406847.61832,3.919,0.004
9001-3704,1-149228,57956526623.89249,3.863,0.082
11757-3703,1-270242,231808282912.0469,7.681,0.128
11830-12704,1-576544,78233690931.69061,6.918,0.032
11954-6102,1-152073,211843327776.00635,6.835,0.082
10517-6102,1-586066,39152946413.96281,2.92,0.006
8148-12703,1-145978,106839663129.37766,9.447,0.2
11022-6103,1-368442,74568886837.19998,4.353,0.021
12082-1902,1-36359,8226775764.6137705,3.021,0.001
8091-1902,1-40058,32683432424.457794,4.569,0.004
8087-6101,1-118970,245839543043.37027,10.557,0.003
11834-12705,1-549301,161094446871.71982,11.797,0.001
9030-3704,1-269099,163594526848.50024,3.907,0.017
9030-9102,1-272178,26938459712.317654,4.597,0.008
12514-12702,1-67044,72502790150.39288,7.57,0.002
10500-12703,1-300461,41779590600.49178,1.617,0.128
10513-12704,1-54539,112724357858.65164,4.171,0.003
8324-12702,1-284982,83860747653.30037,7.772,0.026
11758-3702,1-319368,36548785489.91578,8.319,0.687
9040-1902,1-296398,23588063052.17054,2.521,0.148
9040-6103,1-633805,93605108281.91827,3.699,0.178
9040-6104,1-296599,53695633432.98183,4.873,0.066
9040-9102,1-296537,71752307134.37106,5.51,0.002
11945-12705,1-95220,18255603727.87404,8.32,0.0
11760-9101,1-233444,197246447451.46896,7.24,0.193
12079-6101,1-35362,122933515156.54788,4.169,0.041
11757-1902,1-272795,87832094633.86174,2.629,0.084
10842-12704,1-605818,49796513875.94725,6.027,0.01
8088-12703,1-120817,109346762719.63788,10.184,0.231
12082-6102,1-36361,146253355865.60992,8.437,0.182
9087-9102,1-317951,8590549803.74081,3.254,0.637
10511-12705,1-585278,33489835167.065353,6.751,0.319
9090-12705,1-633755,204834860292.20718,10.81,0.046
9091-6104,1-265783,44850201649.347435,4.959,0.024
9093-6102,1-296732,33357873698.644943,3.816,0.157
10213-9101,1-44999,28114828586.47714,3.729,0.003
